"id","con_id","symbol","market","exchange","primary_exchange","currency","country","sector","industry","sub_industry","long_name","is_active","updated_at"
331,2585323,MTB,US,SMART,NYSE,USD,,Financial,Banks,Commer Banks-Eastern US,M & T BANK CORP,true,2026-06-13 22:32:43.945
332,6477908,MTD,US,SMART,NYSE,USD,,Industrial,Electronics,Instruments-Controls,METTLER-TOLEDO INTERNATIONAL,true,2026-06-13 22:32:43.945
333,9939,MU,US,SMART,NASDAQ,USD,,Technology,Semiconductors,Electronic Compo-Semicon,MICRON TECHNOLOGY INC,true,2026-06-13 22:32:43.945
334,120643512,NCLH,US,SMART,NYSE,USD,,"Consumer, Cyclical",Leisure Time,Cruise Lines,NORWEGIAN CRUISE LINE HOLDIN,true,2026-06-13 22:32:43.945
335,29380756,NDAQ,US,SMART,NASDAQ,USD,,Financial,Diversified Finan Serv,Finance-Other Services,NASDAQ INC,true,2026-06-13 22:32:43.945
336,272314,NDSN,US,SMART,NASDAQ,USD,,Industrial,Machinery-Diversified,Machinery-General Indust,NORDSON CORP,true,2026-06-13 22:32:43.945
337,75960201,NEE,US,SMART,NYSE,USD,,Utilities,Electric,Electric-Integrated,NEXTERA ENERGY INC,true,2026-06-13 22:32:43.945
338,10174,NEM,US,SMART,NYSE,USD,,Basic Materials,Mining,Gold Mining,NEWMONT CORP,true,2026-06-13 22:32:43.945
339,15124833,NFLX,US,SMART,NASDAQ,USD,,Communications,Internet,Internet Content-Entmnt,NETFLIX INC,true,2026-06-13 22:32:43.945
340,10260,NI,US,SMART,NYSE,USD,,Utilities,Gas,Gas-Distribution,NISOURCE INC,true,2026-06-13 22:32:43.945
341,10291,NKE,US,SMART,NYSE,USD,,"Consumer, Cyclical",Apparel,Athletic Footwear,NIKE INC -CL B,true,2026-06-13 22:32:43.945
342,10376,NOC,US,SMART,NYSE,USD,,Industrial,Aerospace/Defense,Aerospace/Defense,NORTHROP GRUMMAN CORP,true,2026-06-13 22:32:43.945
343,109911821,NOW,US,SMART,NYSE,USD,,Technology,Software,Applications Software,SERVICENOW INC,true,2026-06-13 22:32:43.945
344,10188791,NRG,US,SMART,NYSE,USD,,Utilities,Electric,Independ Power Producer,NRG ENERGY INC,true,2026-06-13 22:32:43.945
345,10497,NSC,US,SMART,NYSE,USD,,Industrial,Transportation,Transport-Rail,NORFOLK SOUTHERN CORP,true,2026-06-13 22:32:43.945
346,49921110,NTAP,US,SMART,NASDAQ,USD,,Technology,Computers,Computers-Memory Devices,NETAPP INC,true,2026-06-13 22:32:43.945
347,272565,NTRS,US,SMART,NASDAQ,USD,,Financial,Banks,Fiduciary Banks,NORTHERN TRUST CORP,true,2026-06-13 22:32:43.945
348,10557,NUE,US,SMART,NYSE,USD,,Basic Materials,Iron/Steel,Steel-Producers,NUCOR CORP,true,2026-06-13 22:32:43.945
349,4815747,NVDA,US,SMART,NASDAQ,USD,,Technology,Semiconductors,Electronic Compo-Semicon,NVIDIA CORP,true,2026-06-13 22:32:43.945
350,755864,NVR,US,SMART,NYSE,USD,,"Consumer, Cyclical",Home Builders,Bldg-Residential/Commer,NVR INC,true,2026-06-13 22:32:43.945
351,129348130,NWS,US,SMART,NASDAQ,USD,,Communications,Media,Publishing-Newspapers,NEWS CORP - CLASS B,true,2026-06-13 22:32:43.945
352,129348126,NWSA,US,SMART,NASDAQ,USD,,Communications,Media,Publishing-Newspapers,NEWS CORP - CLASS A,true,2026-06-13 22:32:43.945
353,77791077,NXPI,US,SMART,NASDAQ,USD,,Technology,Semiconductors,Semicon Compo-Intg Circu,NXP SEMICONDUCTORS NV,true,2026-06-13 22:32:43.945
354,10672,O,US,SMART,NYSE,USD,,Financial,REITS,REITS-Single Tenant,REALTY INCOME CORP,true,2026-06-13 22:32:43.945
355,272667,ODFL,US,SMART,NASDAQ,USD,,Industrial,Transportation,Transport-Truck,OLD DOMINION FREIGHT LINE,true,2026-06-13 22:32:43.945
357,10811,OMC,US,SMART,NYSE,USD,,Communications,Advertising,Advertising Agencies,OMNICOM GROUP,true,2026-06-13 22:32:43.945
358,8677881,ON,US,SMART,NASDAQ,USD,,Technology,Semiconductors,Electronic Compo-Semicon,ON SEMICONDUCTOR,true,2026-06-13 22:32:43.945
359,272800,ORCL,US,SMART,NYSE,USD,,Technology,Software,Enterprise Software/Serv,ORACLE CORP,true,2026-06-13 22:32:43.945
360,82457808,ORLY,US,SMART,NASDAQ,USD,,"Consumer, Cyclical",Retail,Retail-Auto Parts,O'REILLY AUTOMOTIVE INC,true,2026-06-13 22:32:43.945
361,410755402,OTIS,US,SMART,NYSE,USD,,Industrial,Machinery-Diversified,Machinery-General Indust,OTIS WORLDWIDE CORP,true,2026-06-13 22:32:43.945
362,10880,OXY,US,SMART,NYSE,USD,,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,OCCIDENTAL PETROLEUM CORP,true,2026-06-13 22:32:43.945
363,110619459,PANW,US,SMART,NASDAQ,USD,,Communications,Internet,Internet Security,PALO ALTO NETWORKS INC,true,2026-06-13 22:32:43.945
364,272942,PAYX,US,SMART,NASDAQ,USD,,Technology,Software,Data Processing/Mgmt,PAYCHEX INC,true,2026-06-13 22:32:43.945
365,272992,PCAR,US,SMART,NASDAQ,USD,,"Consumer, Cyclical",Auto Manufacturers,Auto-Med&Heavy Duty Trks,PACCAR INC,true,2026-06-13 22:32:43.945
366,2586035,PCG,US,SMART,NYSE,USD,,Utilities,Electric,Electric-Integrated,P G & E CORP,true,2026-06-13 22:32:43.945
356,10794,OKE,US,SMART,NYSE,USD,,Energy,Pipelines,Pipelines,ONEOK INC,true,2026-06-13 22:32:43.945
367,326398585,PDD,US,SMART,NASDAQ,USD,,Communications,Internet,E-Commerce/Products,PDD HOLDINGS INC,true,2026-06-13 22:32:43.945
368,11005,PEG,US,SMART,NYSE,USD,,Utilities,Electric,Electric-Integrated,PUBLIC SERVICE ENTERPRISE GP,true,2026-06-13 22:32:43.945
369,11017,PEP,US,SMART,NASDAQ,USD,,"Consumer, Non-cyclical",Beverages,Beverages-Non-alcoholic,PEPSICO INC,true,2026-06-13 22:32:43.945
370,11031,PFE,US,SMART,NYSE,USD,,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,PFIZER INC,true,2026-06-13 22:32:43.945
371,11032,PFG,US,SMART,NASDAQ,USD,,Financial,Insurance,Life/Health Insurance,PRINCIPAL FINANCIAL GROUP,true,2026-06-13 22:32:43.945
372,11054,PG,US,SMART,NYSE,USD,,"Consumer, Non-cyclical",Cosmetics/Personal Care,Cosmetics&Toiletries,PROCTER & GAMBLE CO/THE,true,2026-06-13 22:32:43.945
373,11080,PGR,US,SMART,NYSE,USD,,Financial,Insurance,Property/Casualty Ins,PROGRESSIVE CORP,true,2026-06-13 22:32:43.945
374,11094,PH,US,SMART,NYSE,USD,,Industrial,Miscellaneous Manufactur,Diversified Manufact Op,PARKER HANNIFIN CORP,true,2026-06-13 22:32:43.945
375,11109,PHM,US,SMART,NYSE,USD,,"Consumer, Cyclical",Home Builders,Bldg-Residential/Commer,PULTEGROUP INC,true,2026-06-13 22:32:43.945
376,7740411,PKG,US,SMART,NYSE,USD,,Industrial,Packaging&Containers,Containers-Paper/Plastic,PACKAGING CORP OF AMERICA,true,2026-06-13 22:32:43.945
377,88819288,PLD,US,SMART,NYSE,USD,,Financial,REITS,REITS-Warehouse/Industr,PROLOGIS INC,true,2026-06-13 22:32:43.945
378,444857009,PLTR,US,SMART,NASDAQ,USD,,Technology,Software,Enterprise Software/Serv,PALANTIR TECHNOLOGIES INC-A,true,2026-06-13 22:32:43.945
379,49588376,PM,US,SMART,NYSE,USD,,"Consumer, Non-cyclical",Agriculture,Tobacco,PHILIP MORRIS INTERNATIONAL,true,2026-06-13 22:32:43.945
380,11240,PNC,US,SMART,NYSE,USD,,Financial,Banks,Super-Regional Banks-US,PNC FINANCIAL SERVICES GROUP,true,2026-06-13 22:32:43.945
381,153068487,PNR,US,SMART,NYSE,USD,,Industrial,Environmental Control,Water Treatment Systems,PENTAIR PLC,true,2026-06-13 22:32:43.945
382,11257,PNW,US,SMART,NYSE,USD,,Utilities,Electric,Electric-Integrated,PINNACLE WEST CAPITAL,true,2026-06-13 22:32:43.945
383,44061838,PODD,US,SMART,NASDAQ,USD,,"Consumer, Non-cyclical",Healthcare-Products,Patient Monitoring Equip,INSULET CORP,true,2026-06-13 22:32:43.945
384,39195389,POOL,US,SMART,NASDAQ,USD,,"Consumer, Cyclical",Distribution/Wholesale,Distribution/Wholesale,POOL CORP,true,2026-06-13 22:32:43.945
385,11295,PPG,US,SMART,NYSE,USD,,Basic Materials,Chemicals,Chemicals-Diversified,PPG INDUSTRIES INC,true,2026-06-13 22:32:43.945
386,661547,PPL,US,SMART,NYSE,USD,,Utilities,Electric,Electric-Integrated,PPL CORP,true,2026-06-13 22:32:43.945
387,13865082,PRU,US,SMART,NYSE,USD,,Financial,Insurance,Life/Health Insurance,PRUDENTIAL FINANCIAL INC,true,2026-06-13 22:32:43.945
